iter	Logloss
0	0.6884719216
1	0.6835918763
2	0.6791712393
3	0.6752650538
4	0.6726770435
5	0.6689236568
6	0.6655222038
7	0.6617995271
8	0.6590287675
9	0.655650654
10	0.6512272386
11	0.6475270993
12	0.6436870086
13	0.6395777511
14	0.6364616866
15	0.6326350116
16	0.6286776136
17	0.6254182785
18	0.6222873871
19	0.6188610051
20	0.6148134497
21	0.6121363572
22	0.6085493408
23	0.6047649976
24	0.6019692845
25	0.5988073656
26	0.5947946465
27	0.590906394
28	0.5875467462
29	0.5838120485
30	0.5802959717
31	0.5772759446
32	0.5742482838
33	0.5713043538
34	0.5679342285
35	0.5650057188
36	0.562372927
37	0.56004245
38	0.556968458
39	0.5542046844
40	0.5510559846
41	0.5482664095
42	0.5450809611
43	0.5420990281
44	0.5391748895
45	0.5365859024
46	0.5342547639
47	0.5311976842
48	0.5289994812
49	0.5268559879
50	0.5250107898
51	0.5220686221
52	0.519324825
53	0.5172307706
54	0.5144842865
55	0.5116781915
56	0.5097462612
57	0.5072926383
58	0.5062183756
59	0.5040534538
60	0.5028944161
61	0.5007253729
62	0.4983598502
63	0.4961809303
64	0.4940086625
65	0.4926177787
66	0.4905597905
67	0.4887113028
68	0.4865156922
69	0.4845671688
70	0.4821184504
71	0.4802132069
72	0.4788681161
73	0.4776288113
74	0.4751943429
75	0.4733780985
76	0.4716885245
77	0.469277214
78	0.4676077281
79	0.4660765974
80	0.4638428343
81	0.4621454751
82	0.4596678003
83	0.457654493
84	0.4559533667
85	0.4546409093
86	0.452479441
87	0.4503081904
88	0.4483692417
89	0.4469314824
90	0.4451437164
91	0.4436452431
92	0.4419941742
93	0.4399055798
94	0.4381330216
95	0.4363228434
96	0.4346128689
97	0.432857724
98	0.4308547721
99	0.4293110945
100	0.4277002746
101	0.4261118332
102	0.4251636189
103	0.4234523405
104	0.4217307885
105	0.4200280177
106	0.4188631171
107	0.4170912627
108	0.415705607
109	0.4140387821
110	0.4129963921
111	0.4110676381
112	0.409809113
113	0.4083301732
114	0.4066932549
115	0.4051578867
116	0.4033931665
117	0.4022172508
118	0.4007389715
119	0.3990803287
120	0.3977151716
121	0.3961750486
122	0.3944586272
123	0.3928415142
124	0.3914917124
125	0.3904999542
126	0.389276769
127	0.3875914297
128	0.3872133062
129	0.3862742373
130	0.3853590799
131	0.3839438887
132	0.3831641564
133	0.3821863876
134	0.3810197214
135	0.379893587
136	0.3785742018
